Knowledge Base Article Title	16-Mar	16-Feb	16-Jan	15-Dec	15-Nov	15-Oct	15-Sep	15-Aug	15-Jul	15-Jun	15-May	15-Apr	15-Mar	15-Feb	15-Jan	14-Dec	14-Nov	14-Oct	14-Sep	14-Aug	14-Jul	14-Jun	14-May	14-Apr	14-Mar	14-Feb	14-Jan	13-Dec	13-Nov	13-Oct	13-Sep	13-Aug	13-Jul	13-Jun	13-May	13-Apr	13-Mar	13-Feb	13-Jan	12-Dec	12-Nov	12-Oct	12-Sep	12-Aug	12-Jul	Total
DEM - Public Complaints/Comments	0	0	1	0	4	2	1	0	0	2	1	0	2	0	1	0	0	3	6	1	0	2	0	0	3	1	0	4	3	0	0	1	2	1	1	0	0	1	0	1	1	2	0	2	0	49
DEM - Public Documents/Sunshine Requests	0	0	1	1	1	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	3	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	16
DEM - Requests from media	0	0	0	0	2	0	0	1	2	0	0	1	0	0	0	0	0	2	7	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	20
DEM - SF Citizen Corps Council	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	5
Demographic and Economic Reports for Businesses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Dental Clinics Listing	0	2	0	2	1	1	2	5	3	0	2	1	2	1	0	5	2	6	4	2	2	4	4	2	1	3	7	0	1	5	4	1	3	5	5	6	8	4	2	1	1	4	1	2	0	117
Department of Building Inspection - AB-009 Local Equivalency for Approval of New Openings in New and Existing Building Property Line Walls	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	10	0	0	0	0	0	0	2	0	19
Department of Building Inspection - AB-024 Over-the-Counter Permit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	14	7	5	2	5	5	6	9	3	65
Department of Building Inspection - Form C: Disabled access 20 percent rule	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2
Department of Building Inspection - Notice To Residential Occupants (Word) (PDF)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2
Department of Building Inspection - Unreasonable hardship request	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	7
Department of Children Family Youth - Early Care &  Ed	0	1	0	0	0	0	1	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	2	1	0	1	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	17
Department of Children Family Youth - Violence Prevention	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8
Department of Elections- Job Opportunities	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	1	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	1	2	0	0	0	15
Department of Public Health	0	0	7	32	21	22	23	24	17	14	10	15	27	29	18	23	21	33	37	24	27	19	34	42	44	38	35	31	33	35	46	47	29	36	44	47	32	0	0	0	0	0	0	0	0	1016
Department of the Environment - Emergency Ride Home (ERH) Program	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	8	3	1	3	1	1	1	1	30
Department on the Status of Women - Public Complaints/Comments	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	2	1	0	0	0	1	1	0	1	0	2	0	0	0	0	1	0	1	0	0	0	7	1	0	0	9	0	0	0	0	32
Dept of Building Inspection Annual Reports	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	3
Dept of Building Inspection Quarterly Reports	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	3	2	6	5	6	0	2	2	2	0	0	0	0	0	0	0	0	39
Dept of Technology - Broadband Survey	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Dept of Technology Learning Center	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Dept on Status of Women - Legal Services	0	0	0	0	0	0	1	3	1	2	0	0	0	1	0	3	0	1	0	1	3	2	0	0	1	0	0	0	0	0	0	2	1	0	2	2	1	0	1	1	1	0	0	0	0	30
Designate or Redesignate Building Rating (G)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
DHR - CCSF Employee Training Information	0	1	0	3	1	0	1	1	0	0	0	0	2	0	1	0	0	2	0	0	0	0	1	0	0	0	2	0	0	1	0	1	2	0	1	0	0	1	0	0	0	0	0	0	0	21
DHR - Testing of Occupational Potential and Performance (TOPP)	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	7
Dianne Feinstein ELEM School	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	6
Diesel back up generators application	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	6
Diesel back-up generator application	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	10
Digital Speed Limit Signs	0	1	1	0	3	0	0	0	1	0	2	0	1	1	2	0	0	1	1	8	1	0	1	0	1	8	3	1	3	0	2	2	10	6	0	0	1	0	0	0	2	0	2	1	0	66
Directions to Asian Art Museum	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	6
Directions to Treasure Island	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"Director's Hearings - Information regarding the scheduling, outcome or recordings of these administrative hearings."	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Directory of all SFRP facilities	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Directory of Child Development Centers and Programs	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6
Disabled Access - Compliance Checklist Package	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2
Disabled Person Parking Placard or Plates (Disability Placard or License Plates)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4
Disaster Council Meeting Information	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Disaster Registry for Seniors and Persons with Disabilities	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7
Discounted Rain Barrel Program	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7
Discovery Motions	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Diseases and Flus - All Matters	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	9	1	2	2	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	26
District Attorney - Advocate Referral	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	12
District Attorney - Available Services - Child Care Assistance	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5
District Attorney - Available Services - Court Escort and Support	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
District Attorney - Available Services - Crisis Intervention	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	1	1	0	0	0	0	1	0	10
District Attorney - Available Services - Emergency Assistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
District Attorney - Available Services - Employer Notification and Intervention	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
District Attorney - Available Services - Funeral	0	0	0	0	0	1	0	0	0	1	0	0	0	1	2	3	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	3	0	4	1	0	0	1	0	0	0	22
District Attorney - Available Services - Property Return	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
District Attorney - Available Services - Public Presentations and Publicity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
District Attorney - Available Services - Witness Notification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
District Attorney - Community Courts Information Requests	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	3	2	0	0	0	1	0	0	0	1	0	1	0	15
District Attorney - Environmental Protection	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	1	0	1	0	0	2	0	2	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	15
District Attorney - General Litigation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	5	6	3	0	0	0	0	1	0	0	23
District Attorney - Homicide	0	0	0	0	0	1	0	0	0	0	2	0	3	0	0	0	0	0	1	0	2	0	1	0	3	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	19
District Attorney - Jurisdiction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
District Attorney - Neighborhood Safety	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
District Attorney - Neighborhood Safety - The Office in the community	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	3	0	2	0	0	0	2	0	16
District Attorney - Neighborhood Safety - Working Together to End Hate Crime	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
District Attorney - Reentry Program - Back on Track	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3
Do Public Defenders have the same obligations as private attorneys?	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Do you accept fax documents for filing?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Do you require civil cover sheets on complaints?	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
Documents available from Real Estate department	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4
Does the Library provide wireless access to the Internet?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Doing Business with the Transportation Authority	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	3
Dollar - Rental Car - SFO Airport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Donate to San Francisco - Give2SF - Donate to the City	0	2	4	4	8	2	2	5	0	2	0	0	0	4	0	0	1	0	5	2	1	1	0	1	1	0	2	2	0	0	0	3	0	0	0	0	0	0	2	0	1	0	0	0	0	55
Donations to Local Charities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	3	1	1	2	0	2	0	0	2	1	0	2	0	1	0	24
Donuts or Exhibition Driving	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DOWNTOWN HIGH SCHOOL	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Doyle Drive Replacement Project	0	0	1	0	3	0	1	1	6	2	4	0	2	1	0	1	0	0	1	2	1	0	0	0	0	0	1	0	1	0	0	2	1	3	0	3	0	2	0	0	0	2	1	0	0	42
DPH - Frequently Called Numbers	0	3	1	4	1	1	0	0	2	0	2	0	0	0	0	1	1	2	1	0	0	2	0	0	2	0	0	3	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	32
DPH - Light Brown Apple Moth Information	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
"DPH Noise Program: Noise Complaints, Proposed Amendment to Noise Ordinance, Response to Noise"	0	0	0	0	0	0	0	44	15	5	6	10	12	15	10	2	6	11	14	11	20	8	7	14	16	8	10	7	10	11	10	10	12	14	17	10	9	13	11	11	17	15	19	21	5	466
DR WILLIAM L COBB CDC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
DR WILLIAM L COBB ELEM SCHOOL	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6
DR. CHARLES DREW ELEM SCHOOL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	5
DR. GEORGE WASHINGTON CARVER ELEM SCHOOL	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3
Drop In Center for the Homeless	0	0	4	1	1	0	1	1	2	0	0	1	0	0	0	0	1	0	0	0	2	0	1	1	2	1	1	0	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	25
Drug Court	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
DT -  Broadband Survey	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	1	1	0	3	1	1	2	0	0	1	2	0	1	0	3	0	0	0	20
EARLY MORNING STUDY ACAD. (GED)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
"Economic Empowerment for the Lesbian, Gay, Bisexual, Transgender communities"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5
Educational Placement Center	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Educational Placement Center - Enrollment Information change of address	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5
Educational Placement Center - Foreign Students	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Educational Placement Center - Multilingual Programs list	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Educational Placement Center - Schools at a Glance	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Educational Placement Center - Special Education	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Educational Placement Center - transfers	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	5
MARSHALL ELEM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Educational Placement Center (EPC) - language assessment	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Educational Placement Center (EPC) - Student Assignment Process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Educational Placement Center (EPC) - TRANSCRIPT EVALUATION	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2
Educational Placement Center (EPC) FAQ	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Efficiency Plan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
e-File Business Property Statement	0	0	0	1	1	0	1	5	2	0	2	2	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20
E-Filing Business Property Statement - Obtaining Login and Password	0	0	0	0	0	0	1	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	10
EL DORADO ELEM SCHOOL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Elder Services	0	2	1	1	1	4	1	1	1	0	2	2	2	0	1	1	0	4	5	2	0	2	2	0	3	3	2	2	1	2	1	4	0	4	4	4	2	2	0	0	1	0	0	0	0	70
Election Day Complaints	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6
Elections - 2008 Election Results	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	8
Elections - Campaign Disclosure Reports -State and Special Districts	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Elections - Data Services for Candidates and Campaigns	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Elections - High School Volunteer Program	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Elections - How do I report voter fraud?	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	2	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	14
Elections - Information About: Candidates	0	0	0	0	1	3	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
Elections - Language Assistance - Chinese	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Elections - Language Assistance - English	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Elections - Local ballot measures	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	1	2	2	2	0	1	0	6	0	0	0	0	0	5	3	1	0	0	0	0	0	0	0	0	0	4	3	0	0	0	35
Elections - Past Election Results	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	16
Elections - Poll Place Owner - Application	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2
Elections - Supervisoral District Maps	0	0	0	0	0	1	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	2	0	1	0	0	15
Elections - Upcoming Initiatives / Topics / Issues	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Electrical hazards complaint	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	3
Electrical meters - Service upgrade & Underground Conversion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	5
Entertainment Commission - Itinerant Show Information Form	0	0	0	0	1	0	1	2	0	2	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	2	0	2	0	1	0	0	0	0	22
Electrical Permit Application For Solar PV System - Interim Procedure	0	0	1	1	0	0	2	0	0	3	0	0	1	0	1	1	0	0	0	0	0	1	0	3	0	0	0	0	0	1	1	1	0	0	1	1	2	0	0	0	1	0	0	0	0	22
Electrical permit requirements for a garage door operator	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	8
Electrical Upgrade - Is permit required?	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Electronic Interest Card - Notification of Upcoming Job Opening and/or Exam	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Ella Hill - Shelter	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Emergency / Disaster / Earthquake Preparedness  - General Information	0	0	1	2	3	0	0	5	4	3	3	1	2	3	1	1	2	5	0	19	0	0	2	4	3	2	2	1	1	0	0	0	1	0	0	2	0	0	0	1	2	1	0	1	0	78
